Chemical.ID,Interval,potencyLEL,nOrd,CONC,ord,mu,sd,n,m,peak,auc,ks.stat,ks.pval,diff,delta
C01171,All,-6,9,5 uM,4,9.5436976201771,19.7469571216701,32,1,23.117765654649,458.097485768501,0.428344791115812,0.000726602585100933,-5.84659338351946,-0.379888423299805
C05081,All,-5,9,25 uM,5,5.77611566342639,14.8545203943588,64,5,14.2849576271186,277.253551844467,0.602667407613226,6.90724810681331e-10,-11.3137079965704,-0.662014320431702
C07569,All,6,9,5 uM,4,18.9882535899363,40.3978937120496,32,1,120.745730550285,910.82364800759,0.298515104966718,0.0355466552203392,1.04494102185352,0.0582356807244298
C08880,All,4,5,0.00064 uM,2,19.1247726913346,35.635764801319,32,1,102.631878557875,917.989089184061,0.341733870967742,0.0306977159042469,2.79619291958215,0.171245323149256
C10132,All,-6,9,5 uM,4,10.9703431372549,24.2882428767201,32,2,24.6019607843137,526.576470588235,0.374576271186441,0.0057512241131128,-4.93743872549019,-0.310378830190859
C10589,All,8,9,0.5 uM,2,20.3905459361164,40.1505999724352,32,1,120.286527514232,978.746204933586,0.394453876627051,0.00245324177210871,3.96426750259385,0.241336923554372
C13497,All,3,5,1 uM,3,12.3093397871304,26.661392725355,32,1,65.781812046371,590.848309782258,0.380645161290323,0.0149661649893214,2.66204780818072,0.275937311111688
C13638,All,9,9,0.1 uM,1,22.708358040797,41.4700319997564,32,1,111.80265654649,1090.00118595825,0.413008989952406,0.00123939376557869,5.91314548856296,0.352073275058161
C13702,All,6,9,5 uM,4,19.1180372051164,34.1526145158106,32,0,99.5606617647058,917.665785845588,0.354662698412698,0.00658324077275618,3.43369194038135,0.218924786621582
C14993,All,3,9,44.7 uM,7,22.2329024351676,39.4790583142353,32,1,116.635080645161,1067.17931688805,0.336559139784946,0.0141916559463794,2.83169609325585,0.145954640312166
C15998,All,-5,9,25 uM,5,11.1791073477263,22.4804390132471,64,17,21.7433510638298,536.597152690864,0.417638984214139,0.000100291381058271,-7.43957530180407,-0.399575815423854
C16631,All,8,9,0.5 uM,2,21.4917375153186,42.0428996277646,32,0,105.595588235294,1031.60340073529,0.293859649122807,0.0448492866259662,3.93338160716589,0.2240176487902
C16708,All,9,9,0.1 uM,1,18.0958206416393,37.2922115063253,32,1,91.3719165085388,868.015654648956,0.435483870967742,0.000597943198612505,7.00809203616685,0.632058403080676
C17978,All,9,9,0.1 uM,1,17.0324211337761,34.425927596677,32,1,85.5947580645161,817.556214421252,0.291935483870968,0.0479383459037432,4.2618616178077,0.333725520207524
C18632,All,7,9,1 uM,3,18.3390778186275,37.5557681415628,32,0,113.455078125,880.275735294118,0.334016393442623,0.0135207988288767,2.7425990409189,0.175847322976439
C23855,All,-5,9,25 uM,5,0.287185968137255,4.60930004719541,64,30,3.34602076124568,13.7849264705882,0.967213114754098,0,-13.7468138510527,-0.979536413578646
C24703,All,9,9,0.1 uM,1,17.7466275084252,37.4293349765919,32,0,106.765625,851.838120404412,0.403769841269841,0.0010587929132968,4.88733483904134,0.380062493692003
C26428,All,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29091,All,-2,9,59.8 uM,8,12.4987697227328,25.8341807671242,32,0,32.435546875,599.940946691177,0.3125,0.0282442405559595,-4.95909687117034,-0.28406087562281
C29395,All,6,9,5 uM,4,20.1541412951899,38.7551230719786,32,0,116.19140625,967.398782169118,0.334821428571429,0.0136873838614049,2.10225491563813,0.116456245704019
C29494,All,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
