,,,,Morphology,,,,,,,,,,,,,,,,,,,,,,EPR,,,LPR,
Pams Chemical ID,Truong Chemical ID,Chemical.Name,Truong abbreviation,MO24,DP24,SM24,NC24,MORT,YSE_,AXIS,EYE_,SNOU,JAW_,OTIC,PE__,BRAI,SOMI,PFIN,CFIN,PIG_,CIRC,TRUN,SWIM,NC__,TR__,B,E,R,Light Phase 1,Dark Stimulation
C04009,C01171,Tricresyl phosphate ( p-; m-; o- mix) [TCP],TCP,0.0064,64,-,-,0.0064,64,64,-,-,-,-,64,-,-,-,-,-,-,-,-,-,64,64 (hypo),,,0.0064(hyper),0.0064 (hyper)
C17876,C05081,2-Ethylhexyl diphenyl phosphate [EHDP],EHDP,-,-,-,-,64,-,64,-,-,-,-,64,-,-,-,-,-,-,-,-,-,-,64 (hypo),,,-,-
C08880,C08880,BDE-154,BDE-154,-,-,-,-,0.0064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.064 (hypo),,,-,0.0064 (hypo)
C89409,C10132,t-Butylphenyl diphenyl phosphate [BPDP],BPDP,-,64,-,-,0.064,64,64,64,64,64,-,64,-,-,64,64,-,-,-,-,-,-,64 (hypo),,,0.064 (hyper),6.4 (hypo)
C80242,C13497,3-3â€™-5-5â€™-tetrabromobisphenol A [TBBPA],TBBPA,64,6.4,-,-,6.4,-,6.4,-,6.4,0.64,-,-,-,-,-,6.4,-,-,6.4,-,-,6.4,0.64 (hyper),,,-,0.0064 (hypo)
C13268,C13638,Bis(2-ethylhexyl)-tetrabromophthalate [TBPH],TBPH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.64 (hypo),,,0.64 (hypo),-
C88034,C16631,Tris (1-chloropropyl) phosphate [TCPP],TCPP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,0.064 (hypo)
C67233,C17978,Tri-o-cresyl phosphate [o-TCP],o-TCP,-,-,-,-,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64 (hypo),,,64(hypo),-
C18632,C18632,DE-79,DE-79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-
C23855,C23855,Isopropylated triphenyl phosphate [IPP-1],IPP-1,-,64,-,-,64,64,64,-,-,-,-,64,-,-,64,64,-,-,-,-,-,-,64 (hypo),,,0.064 (hyper,0.064 (hyper)
C51355,C29091,Isodecyl diphenyl phosphate [IDDP],IDDP,64,64,-,-,0.064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4 (hypo),,,0.0064 (hypo),-
C29494,C29494,BDE-99,BDE-99,6.4,-,-,-,0.0064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4 (hypo),,,-,-
C23142,C34993,Tris (1-3-dichloro-2-propyl) phosphate [TDCPP],TDCPP,64,64,-,-,64,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-,-,64 (hypo),,,0.64 (hyper),64 (hypo)
C35108,C35108,p-bromodiphenyl ether [BDE-3],BDE-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.64 (hyper),,,-,64 (hyper)
