"Chemical.ID","% concordance"
"C01171",33.33
"C05081",33.33
"C08880",66.67
"C10132",33.33
"C13497",66.67
"C13638",33.33
"C16631",33.33
"C17978",0
"C18632",66.67
"C23855",33.33
"C29091",33.33
"C29494",66.67
"C34993",33.33
"C35108",0
"C40915",33.33
"C42471",66.67
"C45712",0
"C49082",66.67
"C55524",66.67
"C57798",33.33
"C63690",66.67
"C64688",66.67
"C73039",33.33
"C76051",33.33
"C76461",33.33
"C77742",100
"C81313",33.33
"C81905",33.33
"C85807",0
"C85940",33.33
"C93901",66.67
"C97291",66.67
"C98689",33.33
