"Chemical.ID","% concordance"
"C01171",72.73
"C05081",77.27
"C08880",95.45
"C10132",68.18
"C13497",59.09
"C13638",90.91
"C16631",95.45
"C17978",63.64
"C18632",100
"C23855",72.73
"C29091",86.36
"C29494",90.91
"C34993",68.18
"C35108",100
"C40915",54.55
"C42471",77.27
"C45712",100
"C49082",95.45
"C55524",54.55
"C57798",50
"C63690",59.09
"C64688",63.64
"C73039",81.82
"C76051",36.36
"C76461",86.36
"C77742",100
"C81313",86.36
"C81905",95.45
"C85807",50
"C85940",100
"C93901",100
"C97291",100
"C98689",95.45
