"Chemical.ID","Light","Dark"
"C01171",0.0064,0.0064
"C05081",NA,NA
"C08880",NA,-0.0064
"C10132",0.064,-6.4
"C13497",NA,-0.0064
"C13638",-0.64,NA
"C16631",NA,-0.064
"C17978",-64,NA
"C18632",NA,NA
"C23855",0.064,0.064
"C29091",-0.0064,NA
"C29494",NA,NA
"C34993",0.64,-64
"C35108",NA,64
"C40915",0.0064,-6.4
"C42471",6.4,6.4
"C45712",NA,6.4
"C49082",NA,-0.0064
"C55524",0.0064,0.0064
"C57798",NA,NA
"C63690",6.4,-0.064
"C64688",-64,-6.4
"C73039",NA,NA
"C76051",-6.4,-6.4
"C76461",NA,0.00064
"C77742",NA,NA
"C81313",NA,NA
"C81905",NA,NA
"C85807",NA,NA
"C85940",NA,-64
"C93901",NA,NA
"C97291",NA,-0.64
"C98689",NA,-64
