Chemical.ID,Interval,potencyLEL,nOrd,CONC,ord,mu,sd,n,m,peak,auc,ks.stat,ks.pval,diff,delta
C01171,All,-3,9,44.7,7,0.649232914923291,2.50887588565902,32,29,9.33333333333333,155.166666666667,0.8,0.0229155649568127,-2.70237729001188,-0.806292237096274
C05081,All,4,9,33.4,6,3.3164862356944,7.21975122990381,32,5,25.0851851851852,794.237037037037,0.335185185185185,0.0227774224583078,0.161660759404595,0.051242377944378
C07569,All,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C08880,All,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C10132,All,-6,9,5,4,1.00500579374276,3.61032465387314,32,14,8.61666666666667,240.922222222222,0.595785440613027,4.26527392189957e-05,-1.3686609450896,-0.576601981524527
C10589,All,9,9,0.1,1,4.23265388768898,7.31867059307737,32,1,18.0548387096774,1011.46774193548,0.398826979472141,0.00234373332008131,1.89331822335332,0.809340126865032
C13497,All,-2,5,5,4,0,0,32,30,0,0,1,0.0470348799073773,-3.05770932332916,-1
C13638,All,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13702,All,9,9,0.1,1,5.82705812042432,8.63892906001684,32,4,16.8285714285714,1392.875,0.380750605326877,0.00556179146492153,1.65931481099009,0.398132679436859
C14993,All,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C15998,All,-3,9,44.7,7,2.17322151532678,5.17586395657606,32,3,11.7758620689655,518.275862068965,0.297908422837761,0.0475938502120937,-1.02929118548333,-0.321401125192402
C16631,All,7,9,1,3,4.49960768928992,7.93117133778552,32,0,14.6,1075.265625,0.369212962962963,0.00567584178431968,1.52792785045527,0.514163009920492
C16708,All,-6,9,5,4,2.46248256624826,5.540318593476,32,2,9.7,588.533333333333,0.298305084745763,0.0405620783429229,-0.50171477237009,-0.16925822239755
C17978,All,-4,9,33.4,6,0,0,32,31,0,0,1,0.033333333333332,-3.39347502122842,-1
C18632,All,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23855,All,9,9,0.1,1,4.48186662825868,8.02607863177725,32,3,13.4344827586207,1073.02068965517,0.321200510855683,0.0306570157910419,1.46377823388377,0.485001776824018
C24703,All,-5,9,25,5,2.71085365327969,5.78865525501096,64,6,7.36179310344828,650.558137931034,0.264182424916574,0.0237079639268745,-0.963997795265044,-0.262322928902825
C26428,All,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C29091,All,-5,9,25,5,2.43869991351975,6.18571139417251,64,6,11.7672413793103,583.437931034483,0.339080459770115,0.00226889575746014,-1.64278956676449,-0.402497562397267
C29395,All,8,9,0.5,2,4.06361864996521,7.10236274085313,32,2,15.42,973.236666666667,0.333333333333333,0.0211021747787511,1.51855872800311,0.59666914515411
C29494,All,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34993,All,7,9,1,3,5.00640133593098,7.91035389554446,32,2,25.5466666666667,1199.2,0.342857142857143,0.0448394795867206,1.14214378008341,0.295566163377248
C35108,All,8,9,0.5,2,2.80623286683018,5.18395781013143,32,3,9.31034482758621,670.689655172414,0.35632183908046,0.011902932242831,0.626829534788339,0.287615204387649
C40915,All,-6,9,5,4,1.50498511904762,4.40352932838999,32,4,11.1857142857143,361.196428571429,0.378851540616246,0.00764112219892699,-1.44894213881916,-0.490513818497187
C42471,All,-4,9,33.4,6,1.15637687897102,3.16148625877922,32,5,3.39259259259259,276.374074074074,0.388888888888889,0.00736105443974144,-1.080347072105,-0.483004204244907
C43221,All,-6,9,5,4,2.22198171551492,5.1211830204598,32,1,11.2032258064516,533.132258064516,0.390860215053763,0.00264140777348842,-1.77156577440303,-0.443607038322568
C45712,All,1,9,80,9,3.73456668459263,6.61972403752993,32,1,10.6045483870968,896.055064516129,0.338709677419355,0.0155388471440217,1.17014689741591,0.456300837821943
