"Chemical.ID","Background","Excitatory","Refractory"
"C01171",-64,NA,NA
"C05081",-64,NA,NA
"C08880",-0.064,NA,NA
"C10132",-64,NA,NA
"C13497",0.64,NA,NA
"C13638",-0.64,NA,NA
"C16631",NA,NA,NA
"C17978",-64,NA,NA
"C18632",NA,NA,NA
"C23855",-64,NA,NA
"C29091",-6.4,NA,NA
"C29494",-6.4,NA,NA
"C34993",-64,NA,NA
"C35108",0.64,NA,NA
"C40915",-64,NA,NA
"C42471",NA,NA,NA
"C45712",NA,NA,NA
"C49082",NA,NA,NA
"C55524",-0.64,NA,NA
"C57798",-0.064,NA,NA
"C63690",-64,NA,NA
"C64688",-64,NA,NA
"C73039",-6.4,NA,NA
"C76051",NA,NA,NA
"C76461",-0.64,NA,NA
"C77742",NA,NA,NA
"C81313",NA,NA,NA
"C81905",-6.4,NA,NA
"C85807",NA,NA,NA
"C85940",-0.064,NA,NA
"C93901",NA,NA,NA
"C97291",NA,NA,NA
"C98689",0.0064,NA,NA
