"Chemical.ID","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__"
"C01171",0.0064,64,NA,NA,0.0064,64,64,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
"C05081",NA,NA,NA,NA,64,NA,64,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C08880",NA,NA,NA,NA,0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C10132",NA,64,NA,NA,0.064,64,64,64,64,64,NA,64,NA,NA,64,64,NA,NA,NA,NA,NA,NA
"C13497",64,6.4,NA,NA,6.4,NA,6.4,NA,6.4,0.64,NA,NA,NA,NA,NA,6.4,NA,NA,6.4,NA,NA,6.4
"C13638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C16631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C17978",NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C18632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C23855",NA,64,NA,NA,64,64,64,NA,NA,NA,NA,64,NA,NA,64,64,NA,NA,NA,NA,NA,NA
"C29091",64,64,NA,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C29494",6.4,NA,NA,NA,0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C34993",64,64,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA
"C35108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C40915",NA,NA,NA,NA,0.0064,64,64,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,64,NA,NA,NA
"C42471",0.064,NA,NA,NA,0.064,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C45712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C49082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA
"C55524",0.064,NA,NA,NA,0.064,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C57798",NA,NA,NA,NA,0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C63690",NA,64,NA,NA,0.064,64,64,NA,NA,NA,NA,64,NA,NA,64,64,NA,NA,NA,NA,NA,NA
"C64688",0.64,NA,NA,NA,0.0064,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C73039",NA,NA,NA,NA,0.00064,NA,NA,NA,NA,NA,NA,0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C76051",NA,NA,NA,NA,6.4,0.00064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C76461",NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C77742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C81313",NA,NA,NA,NA,0.00064,NA,NA,NA,NA,NA,NA,0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C81905",NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C85807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C85940",NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C93901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C97291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C98689",NA,NA,NA,NA,0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
