"Chemical.ID","Light","Dark"
"C01171",25,NA
"C05081",59.8,NA
"C08880",NA,NA
"C10132",NA,-5
"C13497",NA,NA
"C13638",-59.8,NA
"C16631",NA,1
"C17978",NA,NA
"C18632",NA,-0.5
"C23855",-5,-5
"C29091",NA,-25
"C29494",NA,NA
"C34993",-0.5,1
"C35108",44.7,0.5
"C40915",-80,-5
"C42471",NA,-33.4
"C45712",0.5,59.8
"C49082",NA,NA
"C55524",NA,NA
"C57798",5,NA
"C63690",NA,-0.5
"C64688",-1,-5
"C73039",-0.1,1
"C76051",NA,NA
"C76461",-59.8,0.5
"C77742",NA,0.00138
"C81313",NA,-25
"C81905",80,5
"C85807",NA,-5
"C85940",NA,NA
"C93901",NA,-25
"C97291",-5,NA
"C98689",NA,1
